"tool_id","tool_slug","workflow_slug","is_primary"
"31cd40c2-810a-484d-b38c-26582f9b39b3","personal-savings-rate","workflow-personal-savings-rate-standard","true"
"c6aec2a0-461e-46de-bc6d-9b12aa78823c","debt-service-ratio","workflow-debt-service-ratio-standard","true"
"9bdae05e-09ea-4512-afd4-5ce1ee9d25d8","emergency-fund-months","workflow-emergency-fund-months-standard","true"
"26295617-27df-4e3d-8532-57618ea0d80f","rule-of-72-calculator","workflow-rule-of-72-calculator-standard","true"
"667f8434-64cd-46b6-a4d7-cbc8b76b0f51","monthly-budget-surplus","workflow-monthly-budget-surplus-standard","true"
"05a7f4b4-8574-4923-b4c1-b315a248de0c","annual-expense-projection","workflow-annual-expense-projection-standard","true"
"939db257-a342-4717-8e9d-9e76da28006e","sinking-fund-contribution","workflow-sinking-fund-contribution-standard","true"
"ac10a406-cfa2-44a5-8ebf-86460af1815c","cash-runway-calculator","workflow-cash-runway-calculator-standard","true"
"db3bf5da-b48b-468b-879f-ac8a4b61f781","productivity-rate-calculator","workflow-productivity-rate-calculator-standard","true"
"858660c9-d05e-4aa7-9529-30ff5e7b7f11","task-completion-rate","workflow-task-completion-rate-standard","true"
"c00c9468-4f18-4f3a-836a-e29e104596b1","fuel-efficiency-calculator","workflow-fuel-efficiency-calculator-standard","true"
"aca1c2c2-e270-4a0a-be95-bf95372e2fd9","electricity-usage-cost","workflow-electricity-usage-cost-standard","true"
"811b088e-305e-4d3d-bad5-bc266131939d","water-consumption-cost","workflow-water-consumption-cost-standard","true"
"6daa5c92-c900-4e14-85c3-88e627e2a4e2","unit-price-comparison","workflow-unit-price-comparison-standard","true"
"bcf42eb8-1576-409e-98b8-eaf8b3db738a","shared-expense-split","workflow-shared-expense-split-standard","true"
"706dd9a1-1523-44c3-8942-df72e4490c46","millimeter-to-inch-converter","workflow-millimeter-to-inch-converter-standard","true"
"935b44e7-2a7c-4d07-a00d-1b2aace209a7","inch-to-millimeter-converter","workflow-inch-to-millimeter-converter-standard","true"
"d9a6435f-0047-46e9-bdfa-a3765bad4632","liter-to-us-gallon-converter","workflow-liter-to-us-gallon-converter-standard","true"
"c0c4eb83-1d87-4f0f-89de-1d41b139c899","us-gallon-to-liter-converter","workflow-us-gallon-to-liter-converter-standard","true"
"1b3c2468-ff82-4f0d-9428-f37f052cf9c7","square-meter-to-square-foot","workflow-square-meter-to-square-foot-standard","true"
"8efeb675-ee57-40df-a97f-427322c1643b","mile-hour-to-kilometer-hour","workflow-mile-hour-to-kilometer-hour-standard","true"
"503bde2d-0e8c-4127-84b8-1b1b24921290","annual-rent-monthly-equivalent","workflow-annual-rent-monthly-equivalent-standard","true"
"0c91bf20-0502-4775-a979-00d72deeb328","gosi-employee-deduction-estimate","workflow-gosi-employee-deduction-estimate-standard","true"
